Designator,Footprint,Quantity,Value,LCSC Part #
"AC1, LOAD1","PhoenixContact_GMSTBA_2,5_2-G-7,62_1x02_P7.62mm_Horizontal",2,Conn_01x02_Pin,
C1,C_Elec_6.3x7.7,1,100uF,C99837
"C10, C2, C6, CD1, CD3",0805,5,10u,C77075
"C3, C4, CD2, CD4",0805,4,100n,C2909631
C5,0805,1,1nF,C2909631
C7,C_Rect_L11.0mm_W4.3mm_P10.00mm_MKT,1,47nF,C2909631
C8,C_Rect_L7.0mm_W3.5mm_P5.00mm,1,10nF,C2909631
C9,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,1,22uF,
D1,D_SOD-123,1,1N4148W,C82544
"D10, D5, D7, D8, D9",D_MELF,5,SM4007,
"D11, D4, D6",0805,3,LED,C84256
D2,D_SMA,1,SS14,C2909920
D3,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,1
F1,1206,1,Polyfuse,C22446878
F2,Fuseholder_Clip-5x20mm_Bel_FC-203-22_Lateral_P17.80x5.00mm_D1.17mm_Horizontal,1,Fuse,
J1,TerminalBlock_Xinya_XY308-2.54-3P_1x03_P2.54mm_Horizontal,1,1Wire,
L1,0805,1,22n,1
"OLED1, PORT1",Hirose_DF13C_CL535-0404-8-51_1x04-1MP_P1.25mm_Vertical,2,Conn_01x04_Socket,1
"PROG1, RST1",SW_SPST_PTS647_Sx38,2,SW_Push,C455246
PS1,Converter_ACDC_Hi-Link_HLK-5Mxx,1,HLK-5M05,
PWM1,"TerminalBlock_Phoenix_MKDS-1,5-4_1x04_P5.00mm_Horizontal",1,Conn_01x03_Socket,
Q1,TO-252-2,1,40N02,
"Q2, Q5",SOT-23,2,2N7002K,C65189
Q3,TO-220-3_Vertical,1,BTA16-600B,C7471857
Q4,SOT-23,1,BC817,
"R1, R19, R2, R21",0805,4,10k,C17414
"R10, R11, R12",0805,3,330,C17630
"R13, R14",R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal,2,360,C95781
"R15, R6, R7, R9",0805,4,1k,C95781
"R16, R8",0805,2,220k,C95781
R17,0805,1,22k,C95781
R18,R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal,1,39,C95781
R20,R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal,1,470,C95781
"R3, R4, R5",0805,3,2k2,C17520
U1,SOT-23-5,1,AP2112K-3.3,C51118
U2,ESP32-WROOM-32U,1,ESP32-WROOM-32,C2980301
U3,SMDIP-6_W9.53mm,1,MOC3021M,C115465
U4,SMDIP-4_W7.62mm,1,PC817,C5451664
U5,SOT-223-3_TabPin2,1,AMS1117-5.0,
U6,HEATSINK-TH_L34.0-W12.0,1,~,
