Designator,Mid X,Mid Y,Rotation,Layer
AC1,-7.9225,-5.6,270.0,top
C1,51.937499,-20.1,180.0,top
C10,62.6,-48.150001,90.0,top
C2,51.5,-8.849997,270.0,top
C3,55.5,-25.749998,270.0,top
C4,77.6,-25.749998,270.0,top
C5,29.2,-27.7,180.0,top
C6,30.577237,-37.674221,270.0,top
C7,-3.4,-49.7,180.0,top
C8,10.8,-25.7,0.0,top
C9,73.0,-54.012501,270.0,top
CD1,55.5,-8.749998,270.0,top
CD2,55.5,-5.05,90.0,top
CD3,82.049999,-27.799999,0.0,top
CD4,62.350001,-44.3,180.0,top
D1,78.3,-15.449999,90.0,top
D10,25.5,-30.1,270.0,top
D11,67.425,-33.4,0.0,top
D2,55.799999,-44.6,0.0,top
D3,67.65,-41.85,90.0,top
D4,64.775001,-30.699999,0.0,top
D5,21.7,-30.1,90.0,top
D6,51.875001,-24.9,180.0,top
D7,36.8,-30.1,90.0,top
D8,33.1,-30.1,270.0,top
D9,25.5,-37.5,270.0,top
F1,49.4,-13.8125,90.0,top
F2,0.2,-14.9,270.0,top
J1,80.1,-36.060001,270.0,top
L1,52.5375,-5.999999,0.0,top
LOAD1,-7.9225,-24.4,270.0,top
OLED1,82.55,-21.074999,90.0,top
PORT1,82.55,-9.674999,90.0,top
PROG1,72.675,-26.399999,180.0,top
PS1,26.1,-10.4,0.0,top
PWM1,50.3,-52.3,0.0,top
Q1,55.52,-35.96,90.0,top
Q2,61.6,-36.462499,90.0,top
Q3,-2.46,-36.2,180.0,top
Q4,36.6375,-35.85,180.0,top
Q5,36.7625,-44.55,0.0,top
R1,65.4,-25.712499,270.0,top
R10,35.5,-49.8125,90.0,top
R11,37.7,-49.8125,90.0,top
R12,42.524999,-44.5875,270.0,top
R13,12.32,-49.7,0.0,top
R14,5.3,-30.1,0.0,top
R15,52.9,-28.0125,90.0,top
R16,32.1875,-24.8,180.0,top
R17,33.1,-35.8125,90.0,top
R18,17.5,-33.32,270.0,top
R19,40.224999,-44.5875,90.0,top
R2,67.6,-25.712499,270.0,top
R20,12.32,-54.1,0.0,top
R21,75.1,-36.7125,90.0,top
R3,82.0125,-29.9,0.0,top
R4,77.5,-21.9875,90.0,top
R5,62.4125,-41.9,180.0,top
R6,63.5125,-33.4,0.0,top
R7,66.687499,-28.599999,0.0,top
R8,22.5875,-24.7,180.0,top
R9,39.8,-31.5875,90.0,top
RST1,60.425,-26.399999,180.0,top
U1,54.349999,-12.837499,270.0,top
U2,66.5,-12.989999,0.0,top
U3,27.865,-46.36,180.0,top
U4,46.19,-30.17,0.0,top
U5,67.6,-52.250001,90.0,top
U6,-2.3,-40.7,0.0,top
